loss,val_acc,test_acc
1.9863780736923218,0.5,0.475
1.027605652809143,0.606,0.625
0.6391147375106812,0.61,0.625
0.4483798146247864,0.628,0.631
0.25601521134376526,0.632,0.64
0.18548983335494995,0.632,0.639
0.11681512743234634,0.638,0.631
0.09386339038610458,0.624,0.636
0.07119721919298172,0.622,0.625
0.03659123554825783,0.62,0.622
0.06007862091064453,0.608,0.619
0.06127208471298218,0.604,0.614
0.03133738040924072,0.6,0.608
0.04422204941511154,0.592,0.606
0.024699309840798378,0.586,0.604
0.042930908501148224,0.586,0.597
0.027096863836050034,0.588,0.599
0.02562868222594261,0.586,0.599
0.02624501846730709,0.59,0.601
0.007935913279652596,0.592,0.599
0.010247183963656425,0.596,0.601
0.017038429155945778,0.602,0.601
0.008762819692492485,0.602,0.602
0.017158646136522293,0.6,0.603
0.017883069813251495,0.606,0.604
0.026422495022416115,0.61,0.605
0.0023978182580322027,0.612,0.605
0.01785159856081009,0.608,0.603
0.02551037259399891,0.612,0.603
0.013693543151021004,0.612,0.606
0.017580348998308182,0.616,0.605
0.012456102296710014,0.622,0.608
0.006500282324850559,0.624,0.607
0.008360951207578182,0.624,0.612
0.009034806862473488,0.628,0.611
0.010868090204894543,0.636,0.611
0.029811708256602287,0.638,0.614
0.00834945123642683,0.642,0.619
0.013810309581458569,0.644,0.622
0.03268410265445709,0.644,0.624
0.009126987308263779,0.646,0.624
0.006439243443310261,0.644,0.622
0.003910957369953394,0.644,0.622
0.013790643773972988,0.644,0.622
0.010145987384021282,0.644,0.622
0.01602521352469921,0.644,0.624
0.007238800171762705,0.642,0.629
0.01976006291806698,0.646,0.629
0.011770766228437424,0.648,0.629
0.028980663046240807,0.646,0.627
0.02091236039996147,0.648,0.629
0.017948638647794724,0.64,0.63
0.0034168181009590626,0.638,0.631
0.01990482583642006,0.638,0.627
0.012415960431098938,0.64,0.628
0.01428830437362194,0.642,0.627
0.01677820459008217,0.644,0.63
0.003549858694896102,0.642,0.628
0.016514478251338005,0.642,0.628
0.004772089421749115,0.644,0.632
0.02254021354019642,0.648,0.634
0.0017034050542861223,0.65,0.638
0.014467722736299038,0.648,0.634
0.007135673891752958,0.644,0.636
0.00939150620251894,0.65,0.635
0.02138613536953926,0.648,0.636
0.007086727302521467,0.65,0.635
0.0021581887267529964,0.652,0.635
0.030076639726758003,0.654,0.64
0.0038066129200160503,0.652,0.642
0.016894273459911346,0.656,0.644
0.0017036930657923222,0.654,0.648
0.008214280009269714,0.654,0.649
0.007211404852569103,0.656,0.645
0.007535220589488745,0.656,0.644
0.00866405013948679,0.654,0.643
0.028234872967004776,0.654,0.641
0.011356920003890991,0.652,0.64
0.012014397419989109,0.648,0.633
0.021891597658395767,0.648,0.632
0.008199375122785568,0.648,0.627
0.02060670033097267,0.644,0.627
0.042940400540828705,0.65,0.626
0.015675850212574005,0.64,0.624
0.009082352742552757,0.64,0.623
0.021595509722828865,0.64,0.62
0.019249437376856804,0.642,0.617
0.03678363189101219,0.644,0.621
0.004945989232510328,0.638,0.621
0.05816023051738739,0.634,0.614
0.04872995615005493,0.634,0.603
0.005973428953438997,0.632,0.605
0.0376419834792614,0.636,0.6
0.00786213856190443,0.624,0.598
0.013733168132603168,0.622,0.595
0.03734854608774185,0.624,0.592
0.012858491390943527,0.616,0.596
0.034368742257356644,0.608,0.596
0.017300954088568687,0.608,0.599
0.056168656796216965,0.604,0.595
0.03471508249640465,0.6,0.596
0.013635423965752125,0.604,0.603
0.00621711416170001,0.61,0.599
0.01465996727347374,0.612,0.599
0.012737896293401718,0.612,0.597
0.008277778513729572,0.61,0.595
0.09965350478887558,0.61,0.598
0.019540447741746902,0.622,0.605
0.006367378868162632,0.622,0.613
0.022270865738391876,0.614,0.609
0.014767065644264221,0.61,0.6
0.020085688680410385,0.61,0.596
0.016248414292931557,0.604,0.594
0.01289623323827982,0.594,0.592
0.007653470616787672,0.596,0.591
0.010041332803666592,0.594,0.587
0.029809797182679176,0.596,0.587
0.027922499924898148,0.606,0.597
0.0895901694893837,0.602,0.602
0.028813140466809273,0.604,0.61
0.014037743210792542,0.616,0.615
0.01727982610464096,0.618,0.62
0.007253603544086218,0.618,0.621
0.006793726701289415,0.626,0.618
0.02771179936826229,0.63,0.619
0.046964697539806366,0.634,0.627
0.010895556770265102,0.64,0.622
0.008980998769402504,0.632,0.623
0.019285891205072403,0.628,0.624
0.006727882195264101,0.63,0.621
0.01411973126232624,0.636,0.62
0.026537057012319565,0.644,0.617
0.011989499442279339,0.636,0.617
0.02894585207104683,0.63,0.612
0.021799951791763306,0.626,0.612
0.03417534381151199,0.624,0.61
0.015868186950683594,0.618,0.609
0.026829862967133522,0.624,0.603
0.01187804900109768,0.626,0.604
0.008440333418548107,0.624,0.606
0.034113820642232895,0.624,0.605
0.018977781757712364,0.628,0.597
0.008733795024454594,0.624,0.596
0.008796638809144497,0.63,0.599
0.025672579184174538,0.626,0.592
0.009700866416096687,0.626,0.589
0.02865368127822876,0.622,0.579
0.013824358582496643,0.62,0.571
0.027405912056565285,0.616,0.569
0.014469257555902004,0.608,0.561
0.04636042192578316,0.608,0.56
0.008913887664675713,0.606,0.556
0.028056258335709572,0.608,0.541
0.026253921911120415,0.594,0.546
0.006843640003353357,0.592,0.544
0.014538154937326908,0.594,0.543
0.016913294792175293,0.594,0.549
0.025662392377853394,0.604,0.551
0.011322170495986938,0.606,0.567
0.023907802999019623,0.61,0.574
0.017888875678181648,0.618,0.58
0.003227120963856578,0.61,0.583
0.00795026309788227,0.618,0.583
0.03372019901871681,0.604,0.587
0.08100008964538574,0.612,0.587
0.01686742529273033,0.608,0.582
0.08125730603933334,0.612,0.575
0.04272792115807533,0.604,0.57
0.015629185363650322,0.6,0.562
0.06034216657280922,0.588,0.556
0.006625068373978138,0.586,0.558
