loss,val_acc,test_acc
1.7152626514434814,0.872,0.869
0.5510196685791016,0.876,0.883
0.38949286937713623,0.856,0.876
0.35353466868400574,0.836,0.869
0.3373751938343048,0.82,0.843
0.325592041015625,0.792,0.827
0.26451438665390015,0.806,0.835
0.2271687239408493,0.818,0.84
0.2525874972343445,0.822,0.852
0.23839473724365234,0.832,0.854
0.23994000256061554,0.83,0.858
0.24199417233467102,0.834,0.862
0.24490071833133698,0.832,0.859
0.19864623248577118,0.83,0.852
0.21832363307476044,0.828,0.849
0.21563193202018738,0.836,0.851
0.2250228226184845,0.834,0.859
0.21172674000263214,0.84,0.873
0.1819029599428177,0.844,0.874
0.15314695239067078,0.85,0.881
0.17834430932998657,0.856,0.885
0.1680830419063568,0.858,0.884
0.20784038305282593,0.86,0.886
0.22583018243312836,0.86,0.89
0.20355327427387238,0.858,0.89
0.1680886149406433,0.858,0.893
0.19948318600654602,0.862,0.89
0.2009316235780716,0.86,0.888
0.1866515576839447,0.864,0.888
0.1472368687391281,0.862,0.888
0.15959638357162476,0.862,0.889
0.11283612996339798,0.864,0.888
0.14062754809856415,0.864,0.89
0.1293378472328186,0.864,0.886
0.12351339310407639,0.866,0.886
0.1376047134399414,0.868,0.886
0.18425942957401276,0.868,0.886
0.15394185483455658,0.868,0.884
0.10716747492551804,0.87,0.884
0.12651772797107697,0.872,0.885
0.12114158272743225,0.874,0.886
0.14088228344917297,0.872,0.886
0.10768405348062515,0.874,0.884
0.11920322477817535,0.878,0.882
0.17752261459827423,0.882,0.879
0.15635019540786743,0.886,0.879
0.10285505652427673,0.884,0.877
0.13857382535934448,0.886,0.88
0.12466517835855484,0.884,0.881
0.10435027629137039,0.882,0.881
0.1313907653093338,0.882,0.881
0.1214194968342781,0.882,0.882
0.1323224902153015,0.88,0.882
0.13714827597141266,0.876,0.882
0.14493101835250854,0.878,0.882
0.13974104821681976,0.882,0.881
0.14674831926822662,0.884,0.882
0.12495879083871841,0.882,0.882
0.13223305344581604,0.884,0.881
0.09827278554439545,0.884,0.882
0.1744082272052765,0.884,0.877
0.12436281889677048,0.886,0.878
0.11230770498514175,0.886,0.876
0.12816545367240906,0.884,0.879
0.10780064016580582,0.884,0.878
0.14395491778850555,0.882,0.877
0.10412339121103287,0.882,0.878
0.09926579892635345,0.88,0.875
0.09012451767921448,0.882,0.873
0.08923444896936417,0.882,0.872
0.09880869090557098,0.882,0.873
0.09547124058008194,0.882,0.883
0.0881524458527565,0.88,0.886
0.09966310858726501,0.878,0.882
0.10784648358821869,0.874,0.884
0.08329100161790848,0.874,0.884
0.08988367021083832,0.874,0.881
0.09878922998905182,0.874,0.881
0.09711213409900665,0.874,0.882
0.11924716085195541,0.874,0.884
0.11146841198205948,0.878,0.885
0.1112414300441742,0.878,0.884
0.11939265578985214,0.878,0.883
0.08666565269231796,0.876,0.886
0.11649314314126968,0.876,0.887
0.08236594498157501,0.876,0.887
0.11826013028621674,0.874,0.891
0.09036750346422195,0.876,0.891
0.11786895245313644,0.872,0.889
0.11383964866399765,0.872,0.89
0.09355027228593826,0.872,0.886
0.08633903414011002,0.872,0.887
0.07390754669904709,0.87,0.887
0.0901496410369873,0.872,0.888
0.10280885547399521,0.874,0.888
0.10550834238529205,0.88,0.889
0.08646020293235779,0.88,0.89
0.11522266268730164,0.882,0.889
0.10263494402170181,0.878,0.889
0.08273239433765411,0.88,0.889
0.08452698588371277,0.882,0.881
0.08191874623298645,0.888,0.878
