loss,val_acc,test_acc
3.631556987762451,0.218,0.207
7.346853256225586,0.224,0.216
5.798041820526123,0.226,0.221
6.906431674957275,0.23,0.221
6.312891483306885,0.234,0.225
7.445152759552002,0.232,0.223
6.402698040008545,0.248,0.234
5.797842502593994,0.38,0.346
6.795451641082764,0.422,0.391
8.856386184692383,0.552,0.53
7.1009321212768555,0.578,0.556
6.283416271209717,0.574,0.571
4.404534339904785,0.59,0.59
7.059378147125244,0.678,0.683
7.1806159019470215,0.684,0.689
5.906863689422607,0.694,0.692
5.793481349945068,0.696,0.694
6.331230640411377,0.694,0.698
4.241816520690918,0.702,0.701
7.840421676635742,0.708,0.705
5.315605640411377,0.714,0.711
3.2674436569213867,0.732,0.723
5.920621395111084,0.734,0.735
8.407320976257324,0.746,0.748
4.941732883453369,0.776,0.781
3.744843006134033,0.814,0.819
5.0786027908325195,0.838,0.845
4.747296333312988,0.852,0.858
6.373220920562744,0.866,0.865
5.781309604644775,0.874,0.874
5.402822017669678,0.884,0.874
9.156749725341797,0.886,0.876
5.079617500305176,0.888,0.877
2.972681999206543,0.886,0.881
5.325942516326904,0.89,0.883
6.612665176391602,0.89,0.884
4.973142623901367,0.892,0.883
4.498931407928467,0.89,0.882
5.511440753936768,0.888,0.881
4.617732048034668,0.884,0.881
2.949045419692993,0.884,0.879
3.118072748184204,0.878,0.875
3.6455113887786865,0.87,0.871
3.3322253227233887,0.872,0.869
3.298651933670044,0.874,0.863
5.283596038818359,0.86,0.851
4.829244136810303,0.86,0.843
4.673740863800049,0.856,0.841
3.395357131958008,0.856,0.84
4.830508232116699,0.854,0.839
3.8025364875793457,0.854,0.839
4.18473482131958,0.856,0.838
4.212019443511963,0.854,0.838
2.1179163455963135,0.854,0.838
3.214001178741455,0.856,0.839
5.01129150390625,0.858,0.84
3.206672430038452,0.858,0.843
5.2528533935546875,0.856,0.844
4.902188777923584,0.862,0.849
4.580133438110352,0.864,0.851
4.332395553588867,0.866,0.853
3.7176413536071777,0.87,0.858
3.612783908843994,0.872,0.862
4.34420108795166,0.878,0.865
3.237541437149048,0.874,0.867
4.964858531951904,0.878,0.867
2.630850076675415,0.88,0.87
3.563066005706787,0.88,0.869
5.248086452484131,0.88,0.871
2.3669795989990234,0.88,0.872
2.7600715160369873,0.882,0.876
4.1441216468811035,0.888,0.882
2.585645914077759,0.886,0.883
4.1266326904296875,0.888,0.877
3.6347203254699707,0.884,0.876
3.442531108856201,0.882,0.879
3.389056444168091,0.89,0.88
4.386653423309326,0.896,0.879
2.9122347831726074,0.898,0.879
3.9482083320617676,0.896,0.88
2.745408296585083,0.896,0.882
3.2135965824127197,0.9,0.883
2.818612813949585,0.902,0.884
3.5175185203552246,0.902,0.885
2.6748249530792236,0.9,0.887
2.9380617141723633,0.9,0.887
4.396096706390381,0.9,0.889
2.2580864429473877,0.898,0.891
3.5025861263275146,0.898,0.893
2.5336902141571045,0.896,0.891
3.1671392917633057,0.896,0.893
2.8623547554016113,0.894,0.891
3.3890268802642822,0.896,0.89
3.133352279663086,0.896,0.888
2.8832013607025146,0.892,0.888
2.2725489139556885,0.888,0.887
3.5594449043273926,0.89,0.883
2.677562713623047,0.892,0.879
2.6649439334869385,0.898,0.878
3.674652576446533,0.896,0.877
3.002962589263916,0.896,0.878
2.9359028339385986,0.894,0.881
2.64011812210083,0.896,0.881
3.2834725379943848,0.896,0.882
3.3399386405944824,0.892,0.883
