loss,val_acc,test_acc
2.1689939498901367,0.26,0.275
1.0766665935516357,0.426,0.466
0.669357180595398,0.582,0.607
0.3851659297943115,0.652,0.669
0.26769036054611206,0.666,0.705
0.2017650455236435,0.678,0.716
0.10988438129425049,0.69,0.717
0.11228286474943161,0.694,0.714
0.07955676317214966,0.698,0.717
0.061626460403203964,0.702,0.72
0.05314401909708977,0.696,0.717
0.017442837357521057,0.704,0.72
0.02466254122555256,0.704,0.725
0.01610281504690647,0.698,0.726
0.012475794181227684,0.7,0.727
0.011272107250988483,0.696,0.726
0.013123844750225544,0.702,0.725
0.018289681524038315,0.704,0.724
0.033200737088918686,0.708,0.729
0.00832238420844078,0.706,0.726
0.011687777005136013,0.706,0.727
0.012725803069770336,0.704,0.724
0.009862317703664303,0.706,0.726
0.0043610334396362305,0.706,0.726
0.0035797187592834234,0.708,0.728
0.005525045096874237,0.708,0.728
0.009448359720408916,0.708,0.73
0.002511681290343404,0.714,0.732
0.0312892347574234,0.716,0.732
0.0046244096010923386,0.718,0.734
0.017983533442020416,0.716,0.734
0.008683155290782452,0.718,0.733
0.00779503770172596,0.718,0.734
0.006618161220103502,0.718,0.734
0.009971563704311848,0.712,0.728
0.013703512027859688,0.714,0.73
0.003345395904034376,0.712,0.732
0.0020244221668690443,0.712,0.738
0.022336265072226524,0.718,0.737
0.013145705685019493,0.724,0.739
0.006819615606218576,0.724,0.739
0.005235196091234684,0.726,0.738
0.0207565538585186,0.724,0.736
0.010701373219490051,0.724,0.735
0.021718338131904602,0.724,0.735
0.01580503024160862,0.72,0.735
0.009627076797187328,0.722,0.734
0.008942252956330776,0.73,0.732
0.010020936839282513,0.73,0.735
0.0037960056215524673,0.73,0.733
0.025531034916639328,0.728,0.731
0.0020322727505117655,0.724,0.73
0.01020643301308155,0.724,0.73
0.0032694668043404818,0.726,0.731
0.00847710482776165,0.724,0.73
0.0025642504915595055,0.72,0.732
0.012176279909908772,0.718,0.733
0.01571202278137207,0.712,0.736
0.010296005755662918,0.716,0.739
0.007269087713211775,0.718,0.738
0.011248397640883923,0.72,0.736
0.010314679704606533,0.716,0.736
0.009710482321679592,0.718,0.737
0.0034023865591734648,0.716,0.736
0.006937588099390268,0.716,0.737
0.002942560240626335,0.72,0.736
0.00319785182364285,0.718,0.738
0.011530999094247818,0.722,0.739
0.006611853837966919,0.722,0.736
0.007167628034949303,0.722,0.738
0.0036146759521216154,0.724,0.736
0.003790991147980094,0.726,0.736
0.009343970566987991,0.722,0.737
0.009559030644595623,0.724,0.736
0.008661774918437004,0.72,0.74
0.003940041642636061,0.724,0.74
0.007259132340550423,0.724,0.741
0.007613859139382839,0.724,0.745
0.005041216034442186,0.718,0.743
0.003688268596306443,0.722,0.743
0.007641543634235859,0.72,0.743
0.010517677292227745,0.72,0.746
0.005986475385725498,0.722,0.749
0.006145065184682608,0.722,0.747
0.004604545421898365,0.726,0.746
0.021425442770123482,0.73,0.745
0.021072236821055412,0.73,0.744
0.0016642204718664289,0.73,0.741
0.002808693563565612,0.732,0.743
0.013821770437061787,0.732,0.743
0.002357320860028267,0.726,0.742
0.007074649445712566,0.728,0.737
0.013545673340559006,0.722,0.734
0.020126372575759888,0.728,0.735
0.010946695692837238,0.73,0.728
0.004810273181647062,0.732,0.727
0.023934176191687584,0.722,0.718
0.007897904142737389,0.718,0.712
0.0047074309550225735,0.71,0.707
0.010232344269752502,0.704,0.703
0.018136339262127876,0.694,0.694
0.012532271444797516,0.694,0.685
0.027923669666051865,0.692,0.682
0.02499055303633213,0.694,0.683
0.008114497177302837,0.688,0.684
0.005539126694202423,0.686,0.683
0.012133598327636719,0.682,0.683
0.00922177080065012,0.678,0.684
0.018830301240086555,0.682,0.689
0.01666717790067196,0.684,0.695
0.015975922346115112,0.678,0.698
0.003148511750623584,0.688,0.691
0.023424584418535233,0.682,0.687
0.027875615283846855,0.688,0.681
0.012570260092616081,0.688,0.678
0.08176708966493607,0.686,0.679
0.009050377644598484,0.68,0.679
0.013710565865039825,0.682,0.681
0.012010976672172546,0.674,0.673
0.003824023762717843,0.672,0.671
0.024965370073914528,0.668,0.673
0.04997686296701431,0.67,0.676
0.006150763016194105,0.674,0.679
0.02283538319170475,0.672,0.678
0.009846472181379795,0.666,0.68
0.03211022913455963,0.658,0.685
0.042110875248909,0.67,0.687
0.03361211344599724,0.678,0.688
0.007721910253167152,0.674,0.694
0.007401429582387209,0.676,0.694
0.008360393345355988,0.668,0.694
0.014414209872484207,0.674,0.695
0.017118632793426514,0.67,0.69
0.009315275587141514,0.664,0.689
0.04366619884967804,0.668,0.692
0.014120746403932571,0.668,0.695
0.03989078849554062,0.668,0.696
0.051059626042842865,0.662,0.696
0.02912074886262417,0.662,0.696
0.010974176228046417,0.66,0.696
0.007342751603573561,0.662,0.698
0.019377557560801506,0.672,0.696
0.011825522407889366,0.674,0.691
0.01870770752429962,0.68,0.683
0.012122458778321743,0.684,0.685
0.049192409962415695,0.676,0.685
0.009567975997924805,0.676,0.681
0.009680799208581448,0.678,0.676
0.013657179661095142,0.678,0.673
0.006699651014059782,0.67,0.674
0.009488643147051334,0.674,0.672
0.010479113087058067,0.676,0.675
0.02860378287732601,0.676,0.677
0.017848169431090355,0.676,0.676
0.03433164581656456,0.678,0.68
0.007198375649750233,0.682,0.685
0.009442491456866264,0.684,0.692
0.025951050221920013,0.684,0.697
0.007800590246915817,0.698,0.694
0.01783565804362297,0.698,0.695
0.02810383215546608,0.692,0.694
0.053979694843292236,0.692,0.694
0.015908747911453247,0.68,0.694
0.016485124826431274,0.682,0.694
0.009255744516849518,0.678,0.692
0.02808247320353985,0.676,0.693
0.015336220152676105,0.666,0.692
0.027871478348970413,0.67,0.691
0.015590616501867771,0.668,0.692
0.04130008816719055,0.668,0.695
0.02732267417013645,0.662,0.7
0.05485529080033302,0.662,0.699
0.023015232756733894,0.65,0.7
0.004825702868402004,0.654,0.701
0.0168929360806942,0.644,0.701
0.010165167041122913,0.644,0.695
0.006138576660305262,0.638,0.694
0.010843134485185146,0.642,0.692
0.05182201787829399,0.646,0.689
0.007521448191255331,0.642,0.688
0.004440051503479481,0.642,0.684
0.01063753291964531,0.644,0.682
0.009452995844185352,0.644,0.678
0.0072129275649785995,0.638,0.673
0.016115408390760422,0.638,0.673
0.018827036023139954,0.64,0.674
0.00729138171300292,0.646,0.682
0.012026311829686165,0.644,0.683
0.01617421768605709,0.642,0.683
