loss,val_acc,test_acc
1.9765598773956299,0.68,0.664
0.5091624855995178,0.892,0.896
0.3038043975830078,0.922,0.926
0.24423812329769135,0.936,0.938
0.18176278471946716,0.944,0.947
0.17969077825546265,0.944,0.95
0.17740808427333832,0.942,0.946
0.1363050937652588,0.948,0.949
0.1027502492070198,0.948,0.948
0.11045151948928833,0.95,0.948
0.10934044420719147,0.948,0.947
0.09999759495258331,0.948,0.947
0.09107792377471924,0.944,0.945
0.08754955977201462,0.944,0.941
0.10211186856031418,0.946,0.941
0.08820372074842453,0.95,0.942
0.07291003316640854,0.948,0.939
0.09563109278678894,0.946,0.939
0.09169499576091766,0.952,0.942
0.10809511691331863,0.95,0.941
0.13064071536064148,0.944,0.942
0.15195602178573608,0.948,0.944
0.03732568025588989,0.948,0.944
0.1038135290145874,0.95,0.941
0.0715508833527565,0.948,0.94
0.05215770751237869,0.952,0.94
0.07552707195281982,0.95,0.936
0.09410302340984344,0.944,0.935
0.05266375467181206,0.94,0.934
0.07509655505418777,0.946,0.933
0.042070794850587845,0.948,0.933
0.04022926464676857,0.946,0.935
0.037603557109832764,0.946,0.936
0.05064714699983597,0.95,0.934
0.05851652845740318,0.95,0.933
0.04911983758211136,0.95,0.936
0.060802921652793884,0.95,0.936
0.057033032178878784,0.95,0.936
0.055066440254449844,0.948,0.937
0.06143473833799362,0.948,0.936
0.07399047166109085,0.948,0.936
0.04920247569680214,0.948,0.938
0.05582419037818909,0.946,0.939
0.04570324346423149,0.944,0.937
0.04944615811109543,0.944,0.938
0.061344534158706665,0.94,0.939
0.03929919749498367,0.94,0.938
0.04388153925538063,0.94,0.937
0.05821029841899872,0.94,0.937
0.037951093167066574,0.94,0.937
0.0535404346883297,0.94,0.937
0.05613458529114723,0.94,0.938
0.051737163215875626,0.942,0.936
0.04333730414509773,0.942,0.936
0.050952326506376266,0.942,0.935
0.04997072368860245,0.942,0.934
0.06060315668582916,0.942,0.935
0.05768168345093727,0.942,0.934
0.06218268349766731,0.944,0.933
0.040127456188201904,0.942,0.933
0.03481450304389,0.942,0.934
0.04295338690280914,0.942,0.936
0.056723449379205704,0.942,0.936
0.04156765714287758,0.942,0.937
0.05041740834712982,0.942,0.938
0.04529881104826927,0.95,0.936
0.05725265294313431,0.948,0.937
0.041222263127565384,0.948,0.938
0.06067656725645065,0.95,0.936
0.03477022796869278,0.948,0.936
0.0427941158413887,0.946,0.938
0.033783815801143646,0.948,0.941
0.0373973548412323,0.948,0.943
0.0384366475045681,0.948,0.944
0.03467221185564995,0.948,0.946
0.07117054611444473,0.948,0.945
0.03496750071644783,0.948,0.943
0.04683704301714897,0.948,0.941
0.03956313803792,0.948,0.94
0.04271519556641579,0.948,0.94
0.060003962367773056,0.944,0.94
0.035743456333875656,0.944,0.939
0.03818157687783241,0.944,0.936
0.028135526925325394,0.946,0.935
0.03266662731766701,0.948,0.934
0.053675632923841476,0.946,0.931
0.029259875416755676,0.946,0.934
0.04413264989852905,0.948,0.934
0.04208148643374443,0.95,0.936
0.041967783123254776,0.95,0.937
0.03607814013957977,0.95,0.936
0.03613423928618431,0.95,0.936
0.04210397228598595,0.95,0.937
0.039206285029649734,0.95,0.934
0.02488037943840027,0.948,0.934
0.030614465475082397,0.948,0.934
0.043109990656375885,0.946,0.937
0.04622828960418701,0.95,0.939
0.05826239660382271,0.95,0.943
0.043619152158498764,0.95,0.945
0.049989718943834305,0.948,0.944
0.04564457759261131,0.948,0.941
0.05287526547908783,0.95,0.939
0.04583673179149628,0.948,0.938
0.03344937786459923,0.948,0.937
0.038488756865262985,0.948,0.936
0.03262430801987648,0.948,0.936
0.04586735740303993,0.948,0.934
0.03902760520577431,0.946,0.932
0.07555370032787323,0.944,0.932
0.048264533281326294,0.946,0.928
0.03837646543979645,0.946,0.931
0.04064897820353508,0.946,0.935
0.040065664798021317,0.942,0.935
0.06631524860858917,0.942,0.936
0.06951968371868134,0.942,0.934
0.029305806383490562,0.942,0.933
0.05214317888021469,0.946,0.933
0.045753322541713715,0.942,0.932
