loss,val_acc,test_acc
4.281072616577148,0.098,0.089
6.34692907333374,0.098,0.09
5.617929458618164,0.1,0.093
5.992886066436768,0.116,0.108
6.7772908210754395,0.228,0.209
5.925259590148926,0.368,0.338
6.3528618812561035,0.404,0.371
7.977868556976318,0.454,0.43
5.006380081176758,0.462,0.449
6.773325443267822,0.466,0.453
5.658305644989014,0.472,0.458
7.897972583770752,0.474,0.459
6.2231245040893555,0.48,0.465
6.670042991638184,0.488,0.468
5.680350303649902,0.526,0.51
5.575695037841797,0.572,0.562
5.43313455581665,0.588,0.568
3.9816582202911377,0.592,0.574
5.995823860168457,0.594,0.576
6.49264669418335,0.598,0.579
5.763983726501465,0.6,0.58
5.531716823577881,0.602,0.581
6.041243076324463,0.606,0.584
7.85948371887207,0.628,0.61
5.200977325439453,0.68,0.663
5.85646915435791,0.734,0.705
5.535621166229248,0.746,0.724
3.7531628608703613,0.748,0.724
5.567804336547852,0.742,0.719
5.493527412414551,0.718,0.708
5.0481061935424805,0.728,0.712
5.389801979064941,0.684,0.676
6.884758949279785,0.618,0.609
5.076214790344238,0.614,0.607
6.778282165527344,0.614,0.604
6.122986316680908,0.612,0.601
5.378344535827637,0.612,0.601
4.813533306121826,0.61,0.602
5.110212326049805,0.606,0.6
5.03208589553833,0.606,0.601
6.0397868156433105,0.606,0.601
4.09316349029541,0.606,0.599
3.4672982692718506,0.606,0.6
3.582812786102295,0.606,0.601
4.292886257171631,0.608,0.6
4.757205486297607,0.606,0.598
5.522196292877197,0.604,0.597
5.432833671569824,0.602,0.595
3.9104831218719482,0.602,0.595
4.262736797332764,0.602,0.596
4.842380523681641,0.606,0.594
4.430638790130615,0.61,0.6
5.377274990081787,0.61,0.6
4.296206951141357,0.61,0.598
4.233395099639893,0.606,0.597
2.5820391178131104,0.604,0.597
3.622588872909546,0.604,0.599
4.132038116455078,0.602,0.599
2.937504768371582,0.6,0.593
4.111352443695068,0.6,0.593
3.5045299530029297,0.602,0.591
3.6854753494262695,0.602,0.588
4.255597114562988,0.604,0.585
5.401609420776367,0.604,0.584
3.532449245452881,0.604,0.585
3.755872964859009,0.604,0.586
3.513087511062622,0.608,0.587
4.210506439208984,0.614,0.591
3.7131474018096924,0.62,0.601
2.517594814300537,0.622,0.609
3.9662225246429443,0.622,0.612
2.8545339107513428,0.624,0.614
3.9781389236450195,0.628,0.613
4.528989315032959,0.624,0.616
4.0206522941589355,0.622,0.616
4.4663519859313965,0.624,0.618
4.096071720123291,0.628,0.623
3.18471622467041,0.634,0.629
2.8150267601013184,0.64,0.631
3.269646167755127,0.638,0.629
3.4802896976470947,0.632,0.624
3.001405954360962,0.636,0.621
3.0631375312805176,0.642,0.617
2.3702573776245117,0.636,0.618
3.3394017219543457,0.636,0.616
3.588886022567749,0.67,0.64
2.74221134185791,0.728,0.707
2.9599685668945312,0.72,0.704
2.540644645690918,0.778,0.752
3.1629812717437744,0.812,0.79
3.174248218536377,0.844,0.823
3.2233965396881104,0.844,0.824
3.6862454414367676,0.808,0.79
2.3504886627197266,0.68,0.67
3.55769419670105,0.63,0.62
3.067941188812256,0.626,0.617
2.8605494499206543,0.624,0.616
3.8825900554656982,0.622,0.615
3.9265120029449463,0.62,0.613
3.3850021362304688,0.62,0.613
2.215242862701416,0.62,0.614
2.920408010482788,0.62,0.614
2.2802090644836426,0.62,0.615
2.312609910964966,0.62,0.617
2.538316488265991,0.62,0.618
2.8888423442840576,0.622,0.619
3.4896774291992188,0.622,0.619
3.006598472595215,0.622,0.62
2.974353790283203,0.622,0.62
3.8066861629486084,0.628,0.622
3.6588034629821777,0.662,0.639
2.923288106918335,0.822,0.809
2.488436460494995,0.86,0.839
2.249967098236084,0.87,0.851
2.5290474891662598,0.874,0.858
2.368579864501953,0.874,0.865
3.825117588043213,0.88,0.87
2.9173197746276855,0.886,0.877
2.602097749710083,0.886,0.878
2.698329210281372,0.886,0.883
2.046734571456909,0.884,0.882
3.397320032119751,0.886,0.882
2.3184564113616943,0.886,0.881
2.045337200164795,0.886,0.881
2.330124616622925,0.884,0.879
2.6888599395751953,0.886,0.873
2.228193521499634,0.876,0.87
2.4476816654205322,0.882,0.871
