loss,val_acc,test_acc
1.220227837562561,0.2,0.184
0.5880023241043091,0.34,0.307
0.41104888916015625,0.668,0.637
0.1811874359846115,0.752,0.726
0.1292448341846466,0.74,0.74
0.14361494779586792,0.706,0.719
0.06446723639965057,0.68,0.679
0.050900790840387344,0.672,0.672
0.021027661859989166,0.67,0.678
0.006993289105594158,0.692,0.686
0.017924636602401733,0.702,0.694
0.005229151342064142,0.708,0.703
0.025344738736748695,0.706,0.701
0.007599805481731892,0.714,0.7
0.027660084888339043,0.71,0.701
0.010882765054702759,0.712,0.699
0.002043439308181405,0.712,0.698
0.0132825318723917,0.72,0.701
0.009196612983942032,0.726,0.704
0.011229322291910648,0.732,0.701
0.0008883225964382291,0.732,0.709
0.010070854797959328,0.73,0.713
0.0025364309549331665,0.73,0.72
0.002474745037034154,0.728,0.723
0.00019729143241420388,0.732,0.725
0.0003763829299714416,0.736,0.728
0.00033529745996929705,0.734,0.728
0.004743466153740883,0.734,0.726
0.01182812824845314,0.734,0.726
0.002558689098805189,0.734,0.726
0.002499169437214732,0.732,0.725
0.00032849350827746093,0.734,0.725
0.0007850104593671858,0.734,0.725
0.0011748925317078829,0.734,0.726
0.0069011808373034,0.736,0.727
0.021902112290263176,0.736,0.728
0.0025064125657081604,0.736,0.729
0.0007904742960818112,0.734,0.729
9.558157034916803e-05,0.734,0.729
0.00022270664339885116,0.732,0.731
0.00043535279110074043,0.728,0.724
0.005228274967521429,0.722,0.724
0.00038486873381771147,0.724,0.724
0.0009457445121370256,0.726,0.727
0.0007424327777698636,0.726,0.726
0.006544208154082298,0.728,0.726
0.0003629713610280305,0.724,0.724
0.0008596249972470105,0.722,0.723
0.0009421959985047579,0.724,0.723
0.00120077608153224,0.722,0.72
0.0026489582378417253,0.722,0.718
0.02276613377034664,0.726,0.722
0.00044345451169647276,0.728,0.725
0.0007592397159896791,0.728,0.728
0.0007116814376786351,0.728,0.732
0.008339217863976955,0.728,0.733
0.005606809630990028,0.734,0.734
0.00826305616647005,0.734,0.735
0.0008489679312333465,0.736,0.73
0.0038332385011017323,0.746,0.734
0.0005722488858737051,0.752,0.733
0.00043757111416198313,0.75,0.73
0.0011499947868287563,0.748,0.73
0.0013724531745538116,0.746,0.727
0.0007744209724478424,0.742,0.726
0.0009432758670300245,0.74,0.728
0.0016255935188382864,0.738,0.727
0.00926246214658022,0.734,0.723
0.0007059368072077632,0.728,0.717
0.004428596701472998,0.72,0.722
0.004721352830529213,0.724,0.721
0.0016065629897639155,0.724,0.721
0.0006494413828477263,0.72,0.72
0.002598364604637027,0.722,0.719
0.0022713488433510065,0.722,0.72
0.010890238918364048,0.718,0.716
0.009755413047969341,0.718,0.721
0.003035002388060093,0.718,0.72
0.007098720408976078,0.718,0.723
0.000986304134130478,0.724,0.724
0.06538310647010803,0.714,0.713
0.0008383723325096071,0.716,0.707
0.008017360232770443,0.71,0.7
0.0032760014291852713,0.712,0.697
0.010210498236119747,0.708,0.694
0.004298525396734476,0.704,0.687
0.0032806051895022392,0.7,0.68
0.006324707996100187,0.704,0.677
0.0250539593398571,0.7,0.685
0.005016767419874668,0.7,0.687
0.005747913382947445,0.7,0.686
0.0049086702056229115,0.702,0.681
0.0016469912370666862,0.704,0.68
0.003755690297111869,0.708,0.684
0.0011207329807803035,0.71,0.682
0.0009631261928007007,0.708,0.683
0.006082654930651188,0.708,0.687
0.0032706004567444324,0.704,0.685
0.0006693335017189384,0.702,0.687
0.002948109759017825,0.7,0.689
0.0021673941519111395,0.694,0.688
0.0074751670472323895,0.706,0.696
0.0033200562465935946,0.708,0.701
0.0043017384596168995,0.708,0.697
