loss,val_acc,test_acc
1.0824711322784424,0.89,0.874
0.461451917886734,0.916,0.902
0.3475131690502167,0.882,0.867
0.2761932909488678,0.89,0.872
0.2625669836997986,0.89,0.877
0.1766386777162552,0.762,0.764
0.1538749486207962,0.728,0.734
0.2395712286233902,0.726,0.737
0.2813203036785126,0.762,0.769
0.12490704655647278,0.774,0.793
0.1026645377278328,0.806,0.814
0.19903071224689484,0.824,0.82
0.1509200632572174,0.804,0.812
0.14839760959148407,0.798,0.81
0.1268620789051056,0.836,0.835
0.10963524132966995,0.856,0.859
0.08696908503770828,0.878,0.881
0.21826408803462982,0.89,0.895
0.24508541822433472,0.89,0.894
0.14935876429080963,0.87,0.872
0.11853388696908951,0.846,0.847
0.14450660347938538,0.812,0.816
0.14199833571910858,0.802,0.812
0.22461305558681488,0.82,0.833
0.28427836298942566,0.852,0.865
0.12449045479297638,0.894,0.894
0.1504323035478592,0.91,0.904
0.14661912620067596,0.924,0.913
0.17389845848083496,0.922,0.913
0.16776803135871887,0.912,0.917
0.20075131952762604,0.888,0.898
0.06853058189153671,0.876,0.87
0.06834843009710312,0.86,0.856
0.19133099913597107,0.874,0.867
0.09064660221338272,0.876,0.879
0.1468866914510727,0.896,0.906
0.10706710815429688,0.924,0.912
0.03114946372807026,0.918,0.911
0.2529602646827698,0.918,0.906
0.1354416459798813,0.918,0.904
0.2001238763332367,0.912,0.901
0.18600617349147797,0.904,0.899
0.12597955763339996,0.89,0.892
0.10920505225658417,0.872,0.865
0.1403988152742386,0.842,0.848
0.07011649012565613,0.816,0.838
0.03090435080230236,0.816,0.833
0.1114676222205162,0.814,0.827
0.04772845655679703,0.816,0.836
0.12577509880065918,0.826,0.846
0.09199180454015732,0.842,0.862
0.05363112688064575,0.852,0.877
0.05743851512670517,0.876,0.892
0.17831158638000488,0.894,0.899
0.12037067860364914,0.904,0.901
0.08658654242753983,0.902,0.904
0.06554167717695236,0.9,0.903
0.10472530871629715,0.898,0.902
0.07836352288722992,0.904,0.905
0.1279774010181427,0.908,0.91
0.0391954742372036,0.916,0.912
0.11443052440881729,0.916,0.912
0.0845804512500763,0.908,0.906
0.0908966138958931,0.904,0.896
0.13568250834941864,0.882,0.892
0.09480591863393784,0.882,0.887
0.05704359710216522,0.894,0.894
0.09043122082948685,0.906,0.903
0.16940250992774963,0.916,0.915
0.0976540595293045,0.916,0.919
0.0294017530977726,0.92,0.921
0.14570488035678864,0.922,0.919
0.08553121238946915,0.912,0.918
0.1054571345448494,0.914,0.913
0.057336173951625824,0.91,0.909
0.11148779839277267,0.91,0.911
0.2386060655117035,0.906,0.907
0.08314203470945358,0.906,0.908
0.12957869470119476,0.91,0.906
0.048756394535303116,0.902,0.903
0.12048856914043427,0.912,0.901
0.08472631126642227,0.912,0.903
0.07414517551660538,0.912,0.901
0.04846269264817238,0.912,0.899
0.09411048889160156,0.896,0.898
0.10421756654977798,0.9,0.9
0.1384643018245697,0.9,0.899
0.05652455613017082,0.906,0.897
0.11452757567167282,0.898,0.899
0.15921173989772797,0.906,0.908
0.04858909174799919,0.912,0.909
0.13468234241008759,0.906,0.909
0.05266677588224411,0.908,0.91
0.09888806194067001,0.902,0.909
0.0819585993885994,0.9,0.908
0.0630425363779068,0.904,0.906
0.0638008564710617,0.908,0.907
0.08597614616155624,0.9,0.903
0.07592889666557312,0.9,0.905
0.04235424846410751,0.902,0.906
0.026943903416395187,0.902,0.905
0.07140093296766281,0.902,0.909
0.048534903675317764,0.904,0.91
0.07614202797412872,0.902,0.913
0.034664131700992584,0.916,0.916
0.03713482618331909,0.92,0.916
0.07217254489660263,0.922,0.918
0.03928689286112785,0.91,0.914
0.0687670037150383,0.912,0.913
0.04984907805919647,0.914,0.917
0.044836390763521194,0.914,0.918
0.10101485252380371,0.906,0.911
0.09636092931032181,0.886,0.897
0.05877269059419632,0.882,0.89
0.04823103919625282,0.882,0.89
0.08017570525407791,0.89,0.896
0.048294056206941605,0.9,0.895
0.15229757130146027,0.906,0.908
0.07045602053403854,0.9,0.899
0.04918045550584793,0.882,0.892
0.05534704774618149,0.868,0.888
0.09392859041690826,0.878,0.893
0.09570513665676117,0.876,0.891
0.09061387926340103,0.872,0.891
0.12831081449985504,0.87,0.885
0.07332602143287659,0.872,0.89
0.049219366163015366,0.888,0.897
0.06174151599407196,0.898,0.913
