loss,val_acc,test_acc
4.807417392730713,0.73,0.721
3.7563135623931885,0.732,0.723
5.254626750946045,0.73,0.729
3.6419076919555664,0.734,0.73
5.815237522125244,0.742,0.734
4.984052658081055,0.74,0.737
3.503236770629883,0.742,0.736
5.30421257019043,0.738,0.74
5.643141269683838,0.76,0.764
5.446763038635254,0.824,0.822
8.187200546264648,0.838,0.839
7.75439453125,0.852,0.85
7.977271556854248,0.86,0.851
8.049287796020508,0.868,0.851
10.575063705444336,0.868,0.85
6.5134148597717285,0.872,0.852
4.053767204284668,0.876,0.855
4.178381443023682,0.878,0.856
5.278955459594727,0.88,0.855
5.288390636444092,0.882,0.85
7.425708770751953,0.88,0.846
2.242518186569214,0.876,0.848
5.303671360015869,0.876,0.846
6.241560459136963,0.868,0.846
3.7475712299346924,0.868,0.844
5.500388145446777,0.866,0.842
3.325495958328247,0.864,0.842
4.2097625732421875,0.862,0.839
4.082484722137451,0.86,0.839
6.888355731964111,0.856,0.839
7.400829792022705,0.858,0.839
8.773097038269043,0.86,0.839
3.949369430541992,0.86,0.843
5.8322577476501465,0.86,0.844
6.382910251617432,0.864,0.845
3.8162732124328613,0.864,0.845
4.248297214508057,0.864,0.845
5.146178722381592,0.866,0.844
2.7383081912994385,0.868,0.845
4.723611831665039,0.866,0.844
5.585750579833984,0.87,0.845
2.173067092895508,0.872,0.847
8.567923545837402,0.874,0.847
3.2889997959136963,0.88,0.85
2.7399163246154785,0.886,0.85
1.4488476514816284,0.888,0.852
2.826756477355957,0.886,0.853
3.92854905128479,0.89,0.855
2.911571979522705,0.89,0.857
5.981627464294434,0.89,0.853
1.2347217798233032,0.892,0.852
2.2231597900390625,0.894,0.855
3.1169557571411133,0.892,0.852
4.864180564880371,0.886,0.855
2.145246744155884,0.884,0.851
3.383420944213867,0.88,0.844
2.8067679405212402,0.866,0.837
2.88914155960083,0.86,0.827
2.059400796890259,0.846,0.823
4.2702226638793945,0.852,0.825
3.5999755859375,0.852,0.828
1.7971121072769165,0.856,0.831
2.758026599884033,0.856,0.836
2.2250242233276367,0.864,0.844
3.5518851280212402,0.876,0.854
1.9644047021865845,0.874,0.854
2.5201637744903564,0.876,0.855
2.1316304206848145,0.876,0.856
3.1457273960113525,0.88,0.856
2.1139004230499268,0.88,0.859
3.56074595451355,0.884,0.86
2.6839120388031006,0.884,0.857
2.4592244625091553,0.886,0.856
1.7621535062789917,0.882,0.858
3.1275222301483154,0.89,0.858
2.0252819061279297,0.892,0.858
2.520491361618042,0.894,0.857
4.5148491859436035,0.894,0.855
3.699744939804077,0.89,0.854
1.5899080038070679,0.892,0.852
1.62130868434906,0.888,0.855
1.9386476278305054,0.878,0.852
2.6203689575195312,0.874,0.847
2.011532783508301,0.874,0.848
1.8514958620071411,0.868,0.848
2.597830295562744,0.868,0.845
1.848388671875,0.87,0.846
3.9937241077423096,0.864,0.845
2.273923635482788,0.862,0.843
1.3576401472091675,0.862,0.842
1.4443305730819702,0.862,0.842
1.448379635810852,0.862,0.843
2.5720579624176025,0.862,0.845
2.565720796585083,0.866,0.847
2.354984760284424,0.862,0.849
3.0746536254882812,0.862,0.849
2.733022689819336,0.862,0.851
2.2886412143707275,0.864,0.854
2.3559048175811768,0.866,0.855
1.799623727798462,0.868,0.853
2.0832080841064453,0.872,0.856
2.0581932067871094,0.87,0.856
1.4722105264663696,0.866,0.856
1.5725173950195312,0.864,0.856
2.333439350128174,0.866,0.856
1.4182987213134766,0.868,0.855
1.8905534744262695,0.876,0.857
1.490098237991333,0.88,0.857
2.317596912384033,0.884,0.858
2.0329172611236572,0.884,0.86
1.7275688648223877,0.886,0.861
1.3539907932281494,0.888,0.862
2.188680648803711,0.886,0.859
2.0405712127685547,0.88,0.857
1.786728858947754,0.876,0.855
1.2242728471755981,0.874,0.852
1.8209763765335083,0.874,0.85
2.2970447540283203,0.876,0.853
1.394293189048767,0.876,0.854
1.6095123291015625,0.88,0.853
1.4159506559371948,0.882,0.853
1.3469314575195312,0.888,0.856
1.579727053642273,0.888,0.856
1.28790283203125,0.89,0.857
1.6948517560958862,0.892,0.856
1.8851451873779297,0.892,0.856
1.9212132692337036,0.888,0.855
1.3366425037384033,0.882,0.853
1.4062503576278687,0.878,0.852
1.6022961139678955,0.872,0.85
1.7182865142822266,0.868,0.85
1.2986372709274292,0.868,0.847
1.431147575378418,0.862,0.843
1.2401140928268433,0.858,0.843
1.687756896018982,0.856,0.838
1.423390507698059,0.858,0.838
1.4840188026428223,0.856,0.834
1.9763509035110474,0.85,0.833
1.2433876991271973,0.85,0.832
1.2940089702606201,0.852,0.833
1.4065593481063843,0.856,0.834
1.635674238204956,0.854,0.835
1.1701245307922363,0.856,0.835
1.2219948768615723,0.856,0.839
1.2448232173919678,0.852,0.842
1.352827787399292,0.858,0.842
2.0110394954681396,0.858,0.849
1.2906333208084106,0.858,0.853
1.3069980144500732,0.866,0.856
1.4632388353347778,0.874,0.857
1.4667593240737915,0.876,0.856
1.3298230171203613,0.878,0.857
1.6284083127975464,0.878,0.858
1.4207782745361328,0.886,0.863
1.4278863668441772,0.88,0.866
1.668621301651001,0.882,0.864
1.6880143880844116,0.882,0.867
1.3340342044830322,0.882,0.866
1.5520824193954468,0.876,0.864
1.2795026302337646,0.876,0.863
1.586779236793518,0.874,0.86
1.6471221446990967,0.872,0.862
1.1108274459838867,0.872,0.861
1.233833909034729,0.876,0.863
1.1689563989639282,0.88,0.862
2.055570363998413,0.88,0.862
1.3417751789093018,0.886,0.861
1.3096673488616943,0.884,0.859
1.504367709159851,0.878,0.858
1.3755215406417847,0.866,0.849
1.0714983940124512,0.866,0.836
1.5691975355148315,0.872,0.833
1.323441505432129,0.872,0.842
1.282399296760559,0.872,0.85
1.27724289894104,0.874,0.836
1.022449254989624,0.856,0.822
1.1372220516204834,0.836,0.807
1.449245810508728,0.798,0.781
1.0767436027526855,0.778,0.761
1.4769235849380493,0.766,0.753
1.1189180612564087,0.752,0.745
1.2565784454345703,0.744,0.738
1.2005916833877563,0.74,0.733
1.6040310859680176,0.744,0.739
1.28187096118927,0.752,0.734
1.1663835048675537,0.752,0.74
1.3888709545135498,0.76,0.747
1.0947555303573608,0.804,0.784
1.2781076431274414,0.824,0.809
1.3132128715515137,0.822,0.811
1.290140151977539,0.814,0.796
1.3116493225097656,0.806,0.782
1.3131624460220337,0.82,0.797
1.2195931673049927,0.824,0.804
1.265558123588562,0.824,0.812
1.1350685358047485,0.818,0.806
1.1743603944778442,0.826,0.815
1.1045554876327515,0.852,0.823
1.4358049631118774,0.874,0.84
1.2549500465393066,0.876,0.845
